Région,Population
Auvergne-Rhône-Alpes,7916889 
Bourgogne-Franche-Comté,2818338 
Bretagne,3306529 
Centre-Val de Loire,2577866 
Corse,330455 
Grand Est,5555186 
Hauts-de-France,6006870 
Ile-de-France,12117132 
Normandie,3335929 
Nouvelle-Aquitaine,5935603 
Occitanie,5808435 
Pays de la Loire,3737632 
Provence-Alpes-Côte d’Azur,5021928 
Total Métropole,64468792 
Guadeloupe,394110 
Saint-Barthélémy,9793 
Saint-Martin,35107 
Guyane,269352 
Martinique,376480 
Mayotte,256518 
La Réunion,852924 
Total Outre Mer,2194284 
