Région,Date,Cumulé de personnes décédées
Guadeloupe,2020-03-18,0
Martinique,2020-03-18,1
Guyane,2020-03-18,0
La Réunion,2020-03-18,0
Mayotte,2020-03-18,0
Île-de-France,2020-03-18,36
Centre-Val de Loire,2020-03-18,1
Bourgogne-Franche-Comté,2020-03-18,6
Normandie,2020-03-18,3
Hauts-de-France,2020-03-18,21
Grand-Est,2020-03-18,120
Pays de la Loire,2020-03-18,1
Bretagne,2020-03-18,7
Nouvelle-Aquitaine,2020-03-18,2
Occitanie,2020-03-18,6
Auvergne-Rhône-Alpes,2020-03-18,7
Provence-Alpes-Côte d'Azur,2020-03-18,7
Corse,2020-03-18,0
Guadeloupe,2020-03-19,0
Martinique,2020-03-19,1
Guyane,2020-03-19,0
La Réunion,2020-03-19,0
Mayotte,2020-03-19,0
Île-de-France,2020-03-19,56
Centre-Val de Loire,2020-03-19,1
Bourgogne-Franche-Comté,2020-03-19,14
Normandie,2020-03-19,5
Hauts-de-France,2020-03-19,40
Grand-Est,2020-03-19,148
Pays de la Loire,2020-03-19,1
Bretagne,2020-03-19,9
Nouvelle-Aquitaine,2020-03-19,3
Occitanie,2020-03-19,17
Auvergne-Rhône-Alpes,2020-03-19,22
Provence-Alpes-Côte d'Azur,2020-03-19,9
Corse,2020-03-19,1
Guadeloupe,2020-03-20,0
Martinique,2020-03-20,1
Guyane,2020-03-20,0
La Réunion,2020-03-20,0
Mayotte,2020-03-20,0
Île-de-France,2020-03-20,99
Centre-Val de Loire,2020-03-20,2
Bourgogne-Franche-Comté,2020-03-20,22
Normandie,2020-03-20,7
Hauts-de-France,2020-03-20,51
Grand-Est,2020-03-20,183
Pays de la Loire,2020-03-20,1
Bretagne,2020-03-20,12
Nouvelle-Aquitaine,2020-03-20,4
Occitanie,2020-03-20,21
Auvergne-Rhône-Alpes,2020-03-20,33
Provence-Alpes-Côte d'Azur,2020-03-20,11
Corse,2020-03-20,3
Guadeloupe,2020-03-21,0
Martinique,2020-03-21,1
Guyane,2020-03-21,0
La Réunion,2020-03-21,0
Mayotte,2020-03-21,0
Île-de-France,2020-03-21,122
Centre-Val de Loire,2020-03-21,2
Bourgogne-Franche-Comté,2020-03-21,27
Normandie,2020-03-21,6
Hauts-de-France,2020-03-21,56
Grand-Est,2020-03-21,209
Pays de la Loire,2020-03-21,3
Bretagne,2020-03-21,15
Nouvelle-Aquitaine,2020-03-21,5
Occitanie,2020-03-21,24
Auvergne-Rhône-Alpes,2020-03-21,38
Provence-Alpes-Côte d'Azur,2020-03-21,13
Corse,2020-03-21,4
Guadeloupe,2020-03-22,0
Martinique,2020-03-22,1
Guyane,2020-03-22,0
La Réunion,2020-03-22,0
Mayotte,2020-03-22,0
Île-de-France,2020-03-22,140
Centre-Val de Loire,2020-03-22,3
Bourgogne-Franche-Comté,2020-03-22,40
Normandie,2020-03-22,8
Hauts-de-France,2020-03-22,67
Grand-Est,2020-03-22,252
Pays de la Loire,2020-03-22,4
Bretagne,2020-03-22,17
Nouvelle-Aquitaine,2020-03-22,8
Occitanie,2020-03-22,25
Auvergne-Rhône-Alpes,2020-03-22,47
Provence-Alpes-Côte d'Azur,2020-03-22,14
Corse,2020-03-22,6
Guadeloupe,2020-03-23,0
Martinique,2020-03-23,1
Guyane,2020-03-23,0
La Réunion,2020-03-23,0
Mayotte,2020-03-23,0
Île-de-France,2020-03-23,193
Centre-Val de Loire,2020-03-23,8
Bourgogne-Franche-Comté,2020-03-23,62
Normandie,2020-03-23,9
Hauts-de-France,2020-03-23,86
Grand-Est,2020-03-23,327
Pays de la Loire,2020-03-23,9
Bretagne,2020-03-23,23
Nouvelle-Aquitaine,2020-03-23,13
Occitanie,2020-03-23,32
Auvergne-Rhône-Alpes,2020-03-23,70
Provence-Alpes-Côte d'Azur,2020-03-23,20
Corse,2020-03-23,7
